version,section,item,review_window,evidence_to_record,confirmed,partial,not_yet_demonstrated,next_action,methodology_url
1.0,domain,event map and constraints,all,"Official route version; distance; ascent; decisive terrain; altitude; surfaces; feed points; cut-offs; compulsory equipment; elapsed-time plan","Current official demands recorded and pacing, stops and route choice fit with an explained margin","Headline route known but cut-offs, stops or decisive terrain remain incomplete","Route version, rules or critical constraint is unknown","Complete the event map or revise the route or goal before adding load",https://roadmancycling.com/blog/sportive-training-readiness-index-2026#domain-1-event-map-and-constraints
1.0,domain,sustainable pacing climbing and handling,all,"Representative session; duration; terrain; effort; cadence and gearing; stops; handling issues","Relevant efforts completed more than once with controlled pacing, suitable gearing and safe handling","Completed once, only while fresh or with an unresolved pacing, gearing or handling issue","Decisive gradient, terrain or duration has not been rehearsed","Train and repeat the specific limiter rather than another generic fitness test",https://roadmancycling.com/blog/sportive-training-readiness-index-2026#domain-2-sustainable-pacing-climbing-and-handling
1.0,domain,durability after prior work,all,"Repeatable early and late segment; power or speed; heart rate; RPE; cadence; conditions; prior work; fuelling","Event-relevant late task remains controlled across at least two comparable rehearsals","One rehearsal exists or late performance deteriorated for a reason still being tested","Meaningful comparisons have only been performed while fresh","Separate early pacing, fuelling, duration exposure and late-power limitations before prescribing the fix",https://roadmancycling.com/blog/sportive-training-readiness-index-2026#domain-3-durability-after-prior-work
1.0,domain,fuelling hydration and gut tolerance,all,"Actual products and quantities; bottle access; concentration; timing; symptoms; weather; feed-station assumptions","Complete intended plan worked more than once over representative duration and intensity","Worked once, only on shorter rides or with manageable symptoms or access problems","Race-day products, concentration or intake timing remain untested","Change one variable and repeat the representative rehearsal; seek qualified help for persistent symptoms",https://roadmancycling.com/blog/sportive-training-readiness-index-2026#domain-4-fuelling-hydration-and-gut-tolerance
1.0,domain,training continuity recovery and practical execution,all,"Key-session completion; missed-session reasons; subjective trend; illness or pain; bike; kit; travel; final-week plan","Training supports the other domains, normal recovery context is understood and equipment and logistics are settled","Preparation is broadly consistent but a recovery, equipment or travel issue remains","Unresolved illness, significant pain, unsafe equipment or critical skill gap","Solve the constraint and seek appropriate care for concerning symptoms",https://roadmancycling.com/blog/sportive-training-readiness-index-2026#domain-5-training-continuity-recovery-and-practical-execution
1.0,checkpoint,define the problem,16 weeks,"Event map; repeatable baseline; recent long ride; health, skill, travel and equipment constraints","Critical demands and the weakest current domain are explicit","Some demands or baseline evidence remain incomplete","No current event map or usable baseline","Choose the first action that will create relevant evidence",https://roadmancycling.com/blog/sportive-training-readiness-index-2026#16-weeks-out-define-the-problem
1.0,checkpoint,establish repeatability,12 weeks,"Repeated field test; controlled long ride; first full fuelling practice; training repeatability; gearing and position","Key evidence is reproducible and material issues have an action","Only one useful session exists or execution issues remain","No repeatable event-relevant evidence","Repeat the same useful test in comparable conditions",https://roadmancycling.com/blog/sportive-training-readiness-index-2026#12-weeks-out-establish-repeatability
1.0,checkpoint,increase specificity,8 weeks,"Decisive event demand; late-ride comparison; event products and clothing; revised cut-off maths","Specific demand and late-ride execution are demonstrated","Specific work exists but is incomplete or produced a material issue","Training remains generic to the event","Practise the decisive terrain, surface, skill, fuelling or pacing constraint",https://roadmancycling.com/blog/sportive-training-readiness-index-2026#8-weeks-out-increase-specificity
1.0,checkpoint,consolidate do not audition,4 weeks,"Final major specific rehearsal; five-domain review; unresolved gaps; equipment, route and goal decision","Critical gaps are resolved or the goal has been revised to respect them","A manageable gap has a conservative event-day response","Serious critical gap remains without a safe or realistic response","Revise pacing, route or participation rather than cramming missed training",https://roadmancycling.com/blog/sportive-training-readiness-index-2026#4-weeks-out-consolidate-do-not-audition
1.0,checkpoint,protect the work,1 week,"Taper; health context; organiser updates; weather; travel; registration; bike; clothing; food; spares","Existing work is protected and logistics are settled","Minor logistics or normal uncertainty remains","New health, safety, equipment or travel problem is unresolved","Do not chase fitness; solve logistics and seek appropriate help for health or safety concerns",https://roadmancycling.com/blog/sportive-training-readiness-index-2026#1-week-out-protect-the-work
